iter	MultiClass
0	1.035322042
1	0.9783287397
2	0.920550015
3	0.876372682
4	0.828802592
5	0.7836338167
6	0.7427954241
7	0.7095061773
8	0.675004049
9	0.6447034342
10	0.6140066146
11	0.5870908051
12	0.5616295563
13	0.5369021827
14	0.514385807
15	0.4948975107
16	0.475709279
17	0.4587650614
18	0.4415539566
19	0.4247058682
20	0.4079510619
21	0.3940790999
22	0.380387695
23	0.3674390859
24	0.3543732623
25	0.342837905
26	0.3331061706
27	0.3222938581
28	0.3123977896
29	0.3032076975
30	0.2940500089
31	0.2850684489
32	0.2759560082
33	0.2693280665
34	0.2619708205
35	0.2558234796
36	0.2496417308
37	0.2422061973
38	0.2364762003
39	0.2318235154
40	0.2264085927
41	0.2212475159
42	0.2169678471
43	0.2111642453
44	0.2057244212
45	0.202116257
46	0.1981789396
47	0.1937363244
48	0.1895572435
49	0.1856781279
50	0.1829369209
51	0.1793245018
52	0.1752951115
53	0.1713143979
54	0.1681039844
55	0.1652258726
56	0.1629225799
57	0.1602047007
58	0.1578536076
59	0.155400595
60	0.1536856424
61	0.1507762983
62	0.1482786506
63	0.1469604709
64	0.1450946715
65	0.1426482421
66	0.1406155759
67	0.1384127422
68	0.1368979314
69	0.1345218512
70	0.1331715548
71	0.131880314
72	0.1302899885
73	0.1294014727
74	0.1282437379
75	0.1268547774
76	0.125665029
77	0.1247050513
78	0.1237600522
79	0.1226806077
80	0.1214177863
81	0.1205135869
82	0.1196342598
83	0.1178643881
84	0.1170932474
85	0.1165374078
86	0.1155857607
87	0.1146636804
88	0.1141280544
89	0.1134454507
90	0.1126407445
91	0.1122732294
92	0.1116516755
93	0.1109062635
94	0.1106685737
95	0.1098759795
96	0.109328822
97	0.1087041501
98	0.1077928965
99	0.1073711298
100	0.1070279428
101	0.106387272
102	0.1053804845
103	0.1049170282
104	0.1045560131
105	0.1042299906
106	0.1038491888
107	0.102876974
108	0.1021396114
109	0.1017208833
110	0.1010877078
111	0.1005768531
112	0.1002574455
113	0.09993137409
114	0.09965987238
115	0.09942162069
116	0.09919898434
117	0.09876505014
118	0.09807835229
119	0.0974869583
120	0.09725414901
121	0.09705352754
122	0.09685438835
123	0.09657572375
124	0.09594261306
125	0.09550848647
126	0.0951139004
127	0.09489240903
128	0.09442954181
129	0.0942132141
130	0.09399901471
131	0.09389549012
132	0.09359034788
133	0.09341072048
134	0.09296406296
135	0.09273952356
136	0.0925522722
137	0.09229889173
138	0.09213110505
139	0.09168677615
140	0.09101556099
141	0.09065717208
142	0.09039848308
143	0.08957887489
144	0.0893743746
145	0.08891632411
146	0.08867267529
147	0.08853498672
148	0.08837077882
149	0.0881489335
150	0.08801053907
151	0.08781402512
152	0.08754114219
153	0.08740372865
154	0.08715029815
155	0.0866643334
156	0.08645546374
157	0.08627412262
158	0.08614558891
159	0.08600673415
160	0.0858370482
161	0.08568411313
162	0.08556131609
163	0.08502599904
164	0.08485321464
165	0.08472727765
166	0.08467340308
167	0.08453624093
168	0.08439250896
169	0.08426052049
170	0.08415625484
171	0.08403876286
172	0.08391968933
173	0.08361065105
174	0.08343509027
175	0.08328894272
176	0.08305335217
177	0.08287852413
178	0.0827090699
179	0.08259088043
180	0.0823333241
181	0.08221422752
182	0.08214381829
183	0.08183237585
184	0.08166898116
185	0.08121067934
186	0.08106574643
187	0.080993714
188	0.08040055416
189	0.08029940788
190	0.08016417475
191	0.08009562479
192	0.08000185153
193	0.07986311656
194	0.07970419198
195	0.07959522348
196	0.079525222
197	0.07937457326
198	0.07923555917
199	0.07914524294
200	0.07909921954
201	0.07899542073
202	0.07892489972
203	0.07884393076
204	0.07875910608
205	0.07853459804
206	0.07843396619
207	0.07806865739
208	0.07799820946
209	0.07793297034
210	0.07789727943
211	0.07770050461
212	0.07754817479
213	0.07747413315
214	0.07728168541
215	0.07722325112
216	0.07713408936
217	0.07708650266
218	0.07687771385
219	0.07657930831
220	0.07651027969
221	0.07646941052
222	0.07606246822
223	0.0759593163
